"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"mmu01212","mmu01212","Fatty acid metabolism","52/5355","62/9045",2.56574250095651e-05,7.15820596905513e-05,2.58730336230908e-05,"12894/56473/56348/20250/15488/235674/54325/78070/76267/257633/54397/11370/14081/216739/107476/11430/71147/74147/110460/433256/14104/93747/97212/11363/15107/66775/20280/12896/19063/26922/80911/11409/66885/50790/234309/106529/110446/68801/74205/57874/70757/113868/52538/20249/170439/223722/231086/224530/11364/30963/14979/12895",52
"mmu00230","mmu00230","Purine metabolism","102/5355","134/9045",2.59009227471187e-05,7.16592196003617e-05,2.59009227471187e-05,"11639/110639/20135/12496/66355/69692/105446/23917/11515/11717/11821/11565/27369/229589/11566/209558/29863/432530/14923/104111/50773/18103/237823/66358/12499/210044/218461/238871/100862375/104110/382985/11564/18574/224129/14450/11512/23984/224794/22436/56520/56248/23972/76952/76025/18584/15452/72157/53893/108147/18582/171567/11636/229363/109674/18160/54195/23971/66401/230103/18578/11637/66681/231327/67054/74167/13178/68695/18576/20133/19139/11513/110385/66566/18577/23959/54369/75686/103850/12497/60596/18605/18102/11534/18585/54611/210808/12495/242202/230718/73707/14544/18573/14198/23918/18583/229665/79059/16434/328099/67464/207728/18950",102
"mmu05162","mmu05162","Measles","110/5355","146/9045",2.80389798193489e-05,7.69333991737506e-05,2.78072527134038e-05,"54123/14281/12445/170779/14130/16476/17698/26420/208650/12444/11651/170770/16391/12576/54131/12028/20848/20850/11652/16151/12122/27103/12567/15482/12048/15481/68652/17221/23797/21929/11783/56480/14694/20851/18035/13665/22031/26419/68135/56637/15975/15976/17858/19106/13001/14102/19697/12015/12675/12566/12487/12370/20846/16184/71586/22034/18706/16159/56417/24088/18033/12448/26409/16451/18710/12371/68098/23961/15467/18036/14082/16186/16179/170786/16150/12367/13666/16453/18709/71609/12501/54721/74769/17874/246728/228607/21898/18707/20847/12571/230073/18708/56489/170743/13000/69142/246730/12043/12018/22059/266632/15512/13063/69165/12443/12995/70192/56382/15511/193740",110
"mmu04115","mmu04115","p53 signaling pathway","59/5355","72/9045",3.06991507894487e-05,8.35419513286638e-05,3.01958860224086e-05,"13197/21825/17248/12445/20135/71361/12444/170770/107986/22084/12028/12122/12567/12048/19211/17873/64058/11783/16000/17246/12450/16009/53892/23882/21933/382985/12575/14102/12566/66940/12370/68428/12521/22401/12448/230784/12371/12452/68098/50883/12367/75747/245000/11920/20437/18787/140742/98376/12571/20438/26374/12578/55948/12043/22059/13663/13063/30954/12443",59
"mmu04710","mmu04710","Circadian rhythm","31/5355","34/9045",3.98450858205429e-05,0.00010754933733675,3.88732544590662e-05,"18627/11865/241113/12952/103583/217166/18626/353187/50789/56438/27373/104318/12234/12912/19885/108079/108099/18628/12753/19079/26965/20893/79362/19883/21402/108097/105787/18030/13170/19082/12953",31
"mmu05163","mmu05163","Human cytomegalovirus infection","182/5355","256/9045",4.15818440760156e-05,0.00011133203413901,4.02404942671119e-05,"26427/20315/13649/15007/16177/18595/16154/14677/14679/14673/110157/12313/20683/11651/19353/22084/54131/12317/12028/20848/11652/16151/12122/26395/18749/18747/11515/12929/12567/12387/11848/13712/12915/14991/13557/12928/170758/242705/12315/19216/23797/56480/17246/432530/72508/19878/14674/26399/104111/16416/18035/19766/210044/19056/19057/19645/104110/17869/14083/29857/56637/224129/16155/11512/12575/73181/14695/22339/20662/19877/21356/21355/72512/14682/14102/58988/19697/18797/12675/15461/12912/12370/22033/64930/22030/16410/11909/14827/14683/18019/20779/18706/14696/18176/16194/19055/18033/12913/16451/18710/12371/19744/56717/14688/19303/14693/16438/16653/16439/21937/14082/13685/16150/12367/11513/14681/20312/18709/71609/18021/12927/14697/75600/74769/14678/66066/18018/19354/80796/19058/14672/20663/26396/15015/14701/12314/21354/14700/208647/14710/18707/19219/18798/19218/12571/16801/18708/213498/11911/16440/14702/12578/12767/14708/18750/18795/18751/231991/19094/26416/15042/15039/12018/19229/69632/22059/14784/15018/12010/14972/26417/26413/13063/75547/15040/14707/12443/14704/110557/14964/18752/15024",182
"mmu01250","mmu01250","Biosynthesis of nucleotide sugars","34/5355","38/9045",4.28812166064224e-05,0.000113892511306658,4.11659679421655e-05,"103988/22235/15277/216558/12763/14584/14635/76355/29858/22122/54128/72157/107652/227620/69976/94181/50798/66681/14583/12764/110119/69080/234730/56174/14430/14751/15275/54342/218138/75540/67311/109785/67883/331026",34
"mmu05169","mmu05169","Epstein-Barr virus infection","165/5355","231/9045",6.27024684768726e-05,0.000165216028050172,5.97166366446406e-05,"13197/54123/12445/15007/22352/16476/26420/12444/11651/19353/19182/107986/16391/26400/19698/12576/54131/12317/12028/20848/11652/16151/12122/12505/19185/12503/12567/21762/17873/68652/14991/13557/22123/69077/26397/242705/23797/15182/21929/11783/56480/17246/50724/26399/19184/66997/53859/18035/66354/19179/22031/19766/23882/20963/27015/66413/67089/26419/19645/17869/66513/15205/29857/252870/15975/15976/12575/18037/19106/21356/21355/14102/19697/12675/18034/12566/23997/12370/20846/70247/22033/59029/22030/22034/14827/12125/18706/12428/24088/18033/12448/26409/16451/18710/433759/12371/19181/20602/23961/57296/18036/23996/16408/14082/16179/16150/60406/12367/16453/18709/71609/12501/54721/17999/74769/17874/246728/26398/234779/15945/100038882/15015/14960/21354/15894/228607/15000/14998/56436/17463/19664/18707/20847/12571/230073/18708/66935/17096/56489/20422/20466/12495/246730/19094/26416/15042/27401/15039/12043/12018/22059/266632/15018/14969/12010/17060/14972/13063/15040/12443/110557/14964/14961/15024/14999",165
"mmu05219","mmu05219","Bladder cancer","36/5355","41/9045",6.43766691059116e-05,0.000168291764906793,6.08283487614913e-05,"17390/21825/69635/13649/72962/110157/11836/109880/26395/12567/56289/13557/17395/242705/17246/73086/19645/17869/12575/22339/15200/15461/20779/18176/13645/16653/13143/13144/26396/12578/14184/22059/13866/26417/26413/12443",36
"mmu05216","mmu05216","Thyroid cancer","33/5355","37/9045",6.52800002087771e-05,0.000169320000541516,6.12000001957285e-05,"13197/19713/19016/21414/107986/109880/12028/26395/108989/12387/17873/20183/20181/23882/27015/17869/21787/12575/21416/15461/18176/59069/16653/26396/20182/76551/21415/27057/12018/22059/26417/26413/12443",33
"mmu04934","mmu04934","Cushing syndrome","119/5355","162/9045",9.51915012954777e-05,0.00024237895169887,8.76068500116398e-05,"26427/239556/13649/11622/14368/14371/14362/14677/12288/14679/216795/12006/21414/20683/214162/109880/12576/13544/12922/26395/18749/18747/11515/11789/12567/12387/12915/11863/22411/13557/242705/23805/432530/104111/12291/13543/210044/218461/12325/22418/19645/104110/56637/224129/11512/22410/15370/12575/58226/12005/12322/14682/11632/17283/18797/21416/12566/18584/12912/12292/213464/14194/140858/11909/84092/14683/320024/22414/12448/12913/12580/13542/93735/16438/22419/16439/20845/23808/11513/11606/16835/14678/22420/69544/14672/26396/22417/14370/16526/20778/208647/18798/77037/12571/14369/233912/11911/16440/12578/14367/381022/11607/109305/14366/19416/57265/18795/18514/215449/231991/108058/21415/12323/26417/26413/109905/12443/12579/93897",119
"mmu00020","mmu00020","Citrate cycle (TCA cycle)","29/5355","32/9045",9.54773562957817e-05,0.00024237895169887,8.76068500116398e-05,"235339/66925/15929/78920/12974/67680/17448/17449/18293/13382/104112/66945/68263/239017/20916/11429/18563/15926/14194/170718/18534/11428/269951/18597/67834/74551/56451/66052/20917",29
"mmu00513","mmu00513","Various types of N-glycan biosynthesis","35/5355","40/9045",9.62571939165788e-05,0.00024237895169887,8.76068500116398e-05,"17155/17156/17308/53618/15212/13135/17158/15211/269181/20014/14595/20441/53418/13200/103963/320302/102580/16430/68292/208624/223774/103534/227619/230815/140481/238023/208211/56737/66789/330406/67574/217664/57370/207958/80286",35
"mmu00900","mmu00900","Terpenoid backbone biosynthesis","22/5355","23/9045",9.63675350128038e-05,0.00024237895169887,8.76068500116398e-05,"15360/192156/67422/14272/14593/15357/52014/110460/19671/56075/68603/66881/110446/110606/71365/57295/17855/230709/319554/110196/224530/208715",22
"mmu05226","mmu05226","Gastric cancer","111/5355","150/9045",9.71800803326869e-05,0.00024258486218385,8.76812754881385e-05,"13197/13649/14368/14371/14362/218772/216795/12006/14177/110157/21414/11836/16480/11651/107986/109880/21803/12576/13544/12028/11652/26395/11789/12387/21812/17295/17873/20183/20181/22411/13557/242705/23797/23805/216148/72508/13543/21809/23882/27015/14180/22418/19645/17869/56637/22410/12575/12005/20662/17128/17126/93687/58988/16973/21416/12566/15461/14178/18706/22414/18176/13645/12448/18710/18669/56717/13542/93735/22419/16974/16653/80857/14388/18709/17127/21813/74769/17350/22420/20663/26396/271849/14164/22417/14370/14173/12385/21808/20182/18707/18671/14369/18708/20416/14367/212398/14366/57265/21415/12043/12018/22059/14784/216033/13866/26417/26413/14296/12443/12579/93897",111
"mmu04340","mmu04340","Hedgehog signaling pathway","48/5355","58/9045",0.000105334208803016,0.000260977293452248,9.4329142211656e-05,"13363/12444/319757/103236/26554/18749/18747/56788/66313/16568/109689/103583/14634/19206/27373/17237/117606/56637/93687/110355/104318/12234/24069/14632/76857/19207/59056/26965/68897/214897/74770/74239/226861/57810/75788/240888/320129/269878/233812/14633/68525/16576/14451/12043/20747/216869/12443/70425",48
"mmu00450","mmu00450","Selenocompound metabolism","17/5355","17/9045",0.000133492945858437,0.000328293763148156,0.000118660396318611,"232223/21743/50493/238505/23972/50880/109079/23971/107869/211006/70266/229905/216443/212679/20768/214580/26462",17
"mmu04114","mmu04114","Oocyte meiosis","91/5355","121/9045",0.000152325463693406,0.000371853337839785,0.000134404820905946,"12313/20111/19047/26395/18749/18747/16001/11515/51792/19053/17222/19046/26931/54401/22629/12315/16000/52717/103583/67579/19052/30939/432530/104111/217232/22627/26932/210044/19056/12325/19057/104110/22631/56438/29857/224129/11512/20112/268930/52563/12322/225849/13006/20874/66156/12234/12566/12877/226849/99152/20878/19055/12448/71890/52206/56317/59008/17120/26965/56150/16438/16439/75430/110651/11513/73699/75600/80796/19058/69010/21402/12314/68999/69957/208922/231207/19045/24061/16440/11835/22628/19094/26416/108058/12323/21770/26417/26413/66440/22630/434233",91
"mmu03430","mmu03430","Mismatch repair","21/5355","22/9045",0.000156348639625151,0.000378888674128102,0.000136947713540278,"68275/17688/68240/17686/18972/217716/106344/19718/17685/69745/18538/19891/19687/72151/381760/67967/17350/69263/18971/16881/18861",21
"mmu05152","mmu05152","Tuberculosis","130/5355","180/9045",0.000167256936097545,0.00040238625206076,0.000145440813997865,"12266/170779/14130/16803/16414/18126/16154/14127/13040/26420/16409/17534/192656/110157/19344/12313/11651/27060/21803/12028/11652/12122/53970/11848/13033/11972/12946/16784/271457/16706/16985/54411/19345/11975/12315/23797/11783/15979/18045/21809/20963/19056/12325/26419/19057/12265/12914/29857/15980/16155/18044/11984/15526/16149/12322/16452/19697/12015/12912/15510/12370/20846/17533/332579/22034/20779/16159/24088/19055/18033/12042/16451/12795/12371/21937/12721/14082/16179/16783/170786/12367/71609/117149/75600/17874/240354/18046/114143/225326/80796/108664/19058/19727/12314/216238/14960/170767/15000/14998/21871/21898/21808/12475/21899/69142/19094/26416/108058/18779/328572/257632/12611/12608/12043/56632/12323/69632/14131/266632/108960/14969/20698/26417/26413/13063/69165/14961/70192/19349/14999",130
"mmu04928","mmu04928","Parathyroid hormone synthesis, secretion and action","82/5355","108/9045",0.000184220541004427,0.000440008774197623,0.000159039315975045,"26427/14281/26941/13649/17387/14677/14679/14673/110157/11836/20683/17261/109880/26395/18749/18747/11515/17260/11848/12915/20183/20181/109689/432530/14674/104111/18806/210044/238871/104110/224129/11512/12575/15200/14682/16973/18797/12912/18227/11909/14683/17391/18805/12913/18578/23948/16438/16974/16439/17258/14182/11513/17388/110385/18577/19228/14678/14672/13653/208647/12393/20182/18798/16801/213498/11911/16440/19227/18750/18795/12374/18751/231991/12043/216869/17938/26417/26413/75547/16478/16658/18752",82
"mmu04936","mmu04936","Alcoholic liver disease","104/5355","141/9045",0.000198142604690893,0.000469881033981261,0.00016983651830648,"12266/12894/13106/19017/12268/16803/20250/26420/21414/11651/16172/26400/54131/11652/16151/241113/12387/78070/11671/68652/11370/26397/23797/93759/56480/107476/20787/14245/26399/11430/53859/18035/22031/19766/26419/19013/66513/29857/56637/20462/11450/64898/12263/14102/19697/21416/14104/12675/12370/72674/56752/22034/64899/16159/11532/18033/26409/108079/108099/80911/11669/207565/19079/101214/68465/171095/21937/50490/14082/16179/16150/12367/71609/117149/17874/26398/66724/12259/12262/12260/20249/108097/21898/12267/100705/56489/56458/106759/56484/12273/105787/12475/19094/26416/110695/21415/266632/11364/19082/12443/26408/56690/11522/12895",104
"mmu04914","mmu04914","Progesterone-mediated oocyte maturation","71/5355","92/9045",0.000206891857101921,0.000487149620977572,0.000176078176256954,"14677/26420/14679/110157/11836/11651/109880/20111/11652/26395/18749/18747/16001/11515/17222/23797/16000/52717/56371/20868/67579/432530/104111/217232/15519/210044/26419/104110/29857/224129/11512/20112/268930/15516/52563/66156/12566/12877/99152/12531/20878/18706/12428/18710/71890/52206/56317/59008/17120/56150/16653/75430/18576/110651/11513/18709/74769/12530/14678/69010/68999/69957/208922/231207/18707/18708/19094/26416/26417/26413/66440",71
"mmu00564","mmu00564","Glycerophospholipid metabolism","75/5355","98/9045",0.000222259191938734,0.000519648251575068,0.000187824669244,"18783/67512/56077/18618/28169/85031/18807/14792/50767/110524/13026/66826/74451/14245/18806/66358/19210/210992/19012/12651/14555/11423/320951/68262/64898/12660/14732/68671/13139/27388/18777/226856/14571/99010/74182/66586/64899/18805/66350/67916/26394/665270/231510/74596/75320/52858/52123/102247/71910/192654/14712/270084/55979/380921/77582/217480/241274/218121/104418/99712/18784/18782/53357/329502/333433/237928/50784/104759/225010/110911/212862/225845/227333/28042/211429",75
"mmu05218","mmu05218","Melanoma","57/5355","72/9045",0.000262113218482363,0.000608542577175835,0.000219955148376808,"13197/18596/13649/18595/14177/110157/18591/11836/11651/107986/109880/12028/11652/26395/16001/12567/17295/19211/17873/13557/242705/23797/16000/17246/23882/27015/14180/19645/12575/12015/15461/18590/14178/18706/18176/13645/54635/18710/16653/14182/80857/18709/71785/74769/26396/17342/14164/14173/18707/12571/18708/12578/12018/22059/26417/26413/12443",57
"mmu05170","mmu05170","Human immunodeficiency virus 1 infection","168/5355","240/9045",0.000293517994457109,0.000676722042776113,0.000244598328714258,"14281/69550/15007/16476/14677/26420/14679/110157/12313/11651/19353/26400/11767/54131/12317/12028/11652/16151/12122/11769/26395/12503/12929/12048/11764/80287/68652/14991/18803/12928/170758/26397/12315/23797/56480/103583/16886/72508/26399/18035/19766/19056/26419/19057/56438/66513/14083/29857/224105/73181/14695/21356/21355/72512/14682/13194/14102/58988/19697/12015/12675/12234/15461/12370/22033/22030/22034/14827/18019/56045/18706/14696/18176/24088/19055/18033/26409/21938/18710/12371/56717/14688/19303/16885/26965/14693/16438/16653/16439/21937/70584/18479/22390/14082/72584/108012/16179/99375/16150/12367/11765/14681/18709/71609/18021/75717/12501/14697/75600/245000/74769/17874/14678/66066/18018/19354/80796/19058/11920/234779/14672/26396/15015/21402/14701/12314/21354/14700/14710/21898/18707/321006/11766/18708/16440/14702/12767/14708/18750/19823/18751/19094/26416/15042/67673/15039/12631/319236/12043/209387/12018/19229/266632/15018/12010/14972/12632/26417/26413/13063/15040/14707/14704/110557/14964/18752/15024/67923",168
"mmu04916","mmu04916","Melanogenesis","76/5355","100/9045",0.000298160985110282,0.000682685841769749,0.000246753918711957,"26427/14368/17311/14371/14362/14677/14679/216795/110157/21414/12313/13544/26395/18749/18747/11515/16590/12387/22411/12315/432530/104111/13543/13614/210044/12325/22418/13618/104110/12914/56637/224129/11512/22410/12322/14682/18797/21416/15461/12912/14683/22414/18176/12913/13542/93735/22419/16653/11513/14681/75600/14678/22420/80796/26396/17342/12314/22417/14370/208647/18798/14369/14367/14366/57265/18750/18795/18751/108058/328572/21415/12323/26417/26413/18752/93897",76
"mmu04625","mmu04625","C-type lectin receptor signaling pathway","84/5355","112/9045",0.000317294751482646,0.000721519571864646,0.000260790206698065,"18753/170779/16476/14127/26420/208650/110157/12313/11651/16391/19698/11652/16151/11848/17164/16706/16985/16362/12315/23797/17246/53859/18035/20963/19056/26419/19057/29857/73181/19697/12675/18034/15461/12362/12370/20846/332579/18019/20779/18706/16159/18176/19055/18033/12042/12795/18710/16438/16653/16439/18479/170786/16150/18709/18021/75600/74769/17532/240354/18018/80796/19058/234779/12314/74256/13654/20130/18707/20847/18708/56489/16440/19247/239114/69142/19094/12051/26416/66922/69632/26417/26413/69165/70192",84
"mmu03060","mmu03060","Protein export","26/5355","29/9045",0.000346441305436951,0.000782438866701141,0.000282809228928123,"69089/20813/66384/140740/217337/69019/66286/56529/57743/27058/14828/69276/53421/67398/20818/66624/66661/66541/76976/66212/76687/93757/24067/20335/100101806/665155",26
"mmu03460","mmu03460","Fanconi anemia pathway","42/5355","51/9045",0.000356131804910895,0.000798890265070386,0.00028875551749532,"72775/235610/68275/21975/13870/67030/68240/19714/14088/27015/15205/50505/21976/80905/71718/71711/20892/71885/56210/67196/19361/60534/230484/19891/12144/245000/17350/67561/14087/330554/74386/223970/26447/208836/52864/12190/237211/104806/75764/193838/18861/100040608",42
"mmu01524","mmu01524","Platinum drug resistance","62/5355","80/9045",0.00042194284895875,0.000940167958753724,0.000339819744127852,"14859/56615/14872/14871/103140/11651/170770/13870/12028/14866/68312/11652/12122/17688/12048/17686/21974/23797/19714/11783/17246/12575/80905/18607/17685/14102/12015/14873/11798/12370/66447/18706/14865/22590/18710/12371/14082/12367/18709/11796/14860/74769/17350/11977/11920/14869/18707/14863/18708/12578/12043/11797/12018/14862/22059/14870/13866/26417/26413/13063/20529/26408",62
"mmu04540","mmu04540","Gap junction","66/5355","86/9045",0.000456606667024386,0.00101062275634731,0.000365285333619508,"14745/18596/22142/13649/18595/67951/73710/14677/14679/110157/18591/23939/22154/26395/18749/18747/11515/432530/104111/210044/104110/224129/11512/22143/20662/26405/14682/18797/104318/15461/18590/22145/14683/20779/18176/54195/13645/54635/16438/53857/16653/16439/21872/11513/71785/14678/60596/14672/20663/26396/227613/18798/16440/22146/14609/18750/18795/18751/19091/23938/22151/14784/22153/26417/26413/18752",66
"mmu00280","mmu00280","Valine, leucine and isoleucine degradation","46/5355","57/9045",0.000462874556481258,0.00101611702303792,0.000367271213146237,"15360/268860/235674/13171/11671/257633/13382/104776/11992/78038/67041/74147/110460/17850/15108/93747/97212/56752/56357/72039/15107/15356/11669/78894/11409/58875/12036/66885/66948/110446/12040/66904/73724/113868/52538/227095/110821/110695/231086/12039/224530/11364/11761/71724/14204/208715",46
"mmu03410","mmu03410","Base excision repair","31/5355","36/9045",0.000465210203318567,0.00101611702303792,0.000367271213146237,"18973/268395/18972/16882/235587/14156/69745/56626/77622/11545/18538/59001/70603/22256/66979/18294/17193/67967/18970/72774/21665/382913/11792/11546/71726/18971/18207/22594/328417/16881/15289",31
"mmu04512","mmu04512","ECM-receptor interaction","67/5355","88/9045",0.000615599210893252,0.00133581005239581,0.000482822910504511,"22370/23928/12833/12834/12843/14268/12842/12826/12643/12827/12835/16777/21825/242022/12845/192897/21826/20969/12830/12829/319480/16773/12491/20750/320910/16421/21923/16402/16400/22371/12505/16398/16776/20971/16775/16416/21828/16419/16774/16404/16412/12839/226519/16782/16780/241226/16420/16401/16410/16403/21827/15530/81877/16399/231470/104099/13138/114249/11603/109700/19699/245026/14723/16779/16423/12828/213119",67
"mmu00240","mmu00240","Pyrimidine metabolism","45/5355","56/9045",0.000638508377637013,0.00137652455438629,0.000497538995561309,"99586/20135/76654/72962/69692/22245/69719/68106/209558/22169/50773/18103/12499/100862375/382985/22247/56520/76952/21877/76025/21915/80914/171567/110074/66401/51797/66588/13178/107569/20133/55936/56749/23959/54369/103850/12497/57813/18605/18102/66422/12495/230718/79059/68556/67464",45
"mmu05142","mmu05142","Chagas disease","77/5355","103/9045",0.00066062876642766,0.00141358441636529,0.000510934126397091,"12266/14281/16476/18126/14677/26420/14679/11651/21803/12317/11652/16151/12503/51792/21812/19053/23797/15979/19052/432530/11421/18035/12062/21809/26419/71978/29857/15980/14680/17126/14682/14675/14102/19697/18797/12675/12370/12633/22034/14683/18706/16159/24088/18033/18710/21937/14082/16179/16150/14681/18709/73699/12501/21813/74769/17874/14678/26398/14672/12259/12262/12260/18787/21898/21808/18707/18798/18708/52432/106759/18795/21899/19094/26416/266632/26417/26413",77
"mmu04725","mmu04725","Cholinergic synapse","83/5355","112/9045",0.000664214364316219,0.00141358441636529,0.000510934126397091,"26427/14281/16519/14677/12288/14679/11651/11652/26395/18749/18747/11515/16535/23797/14360/432530/30955/104111/320207/210044/12325/104110/224129/11512/11423/14695/12322/14682/16452/18797/15461/12912/12292/18706/14696/18176/11444/226922/12913/60613/18710/14688/14693/16438/16653/16439/11513/14681/18709/14697/74769/14678/66066/12286/14672/14701/14700/208647/14710/18707/18798/18708/16518/11911/16515/16440/14702/12671/104709/14708/18750/18795/18751/231991/108058/110862/12043/12323/26417/26413/14707/14704/18752",83
"mmu04728","mmu04728","Dopaminergic synapse","98/5355","135/9045",0.000770706634278373,0.00162977453872879,0.000589075134480285,"26427/11865/14281/16519/14677/26420/12288/214084/109731/14679/12846/12313/11651/53623/11652/19047/18749/18747/16573/51792/19053/19046/12915/26931/109689/12315/23797/19052/59032/26932/19056/12325/26419/71978/19057/29857/56637/224129/14695/14680/12322/14682/225849/18797/17161/12912/226849/16574/11909/14683/14696/19055/12913/14688/12753/14693/16438/16439/14681/73699/14697/75600/14678/66066/80796/12286/14701/12314/14700/208647/14710/18798/19045/52432/11911/16440/14702/235542/14708/18750/18795/18751/231991/19094/26416/108058/606496/12323/21770/216869/19049/14707/14704/16572/791260/18752/19054/434233",98
"mmu04392","mmu04392","Hippo signaling pathway - multiple species","24/5355","27/9045",0.000804306124724756,0.00169006097094063,0.000610865411183359,"21679/21678/68473/18016/56289/64010/50523/16475/56274/27373/29806/215653/97064/18479/21677/101543/233651/16798/213391/232157/329628/319710/22601/21676",24
"mmu01240","mmu01240","Biosynthesis of cofactors","109/5355","152/9045",0.000843515433875433,0.00176130266696002,0.00063661542179278,"11639/11720/11656/75735/22235/230027/71743/216558/18104/17768/108841/14287/11671/11565/69719/17434/11566/71562/103711/211347/20425/22169/13382/18103/108156/217707/13361/71147/68646/11564/29858/223646/54128/12892/22247/56520/14151/107272/54391/56248/108037/110006/171567/107508/11636/73373/14854/18041/14630/17025/51797/106564/22275/58810/66588/11647/11637/66454/192185/79464/71883/665563/11669/77697/29807/12850/67375/67164/12036/67417/22276/78914/55936/56749/19286/15288/110119/14629/74080/54369/11655/216134/69080/20751/623661/74450/14528/18102/226139/270685/52064/108645/70383/319945/268566/56316/232087/19044/66812/56738/20148/17252/69568/331026/79059/14590/394436/27973/57028",109
"mmu04550","mmu04550","Signaling pathways regulating pluripotency of stem cells","101/5355","140/9045",0.00092147903607506,0.00191206899985575,0.000691109277056295,"14368/14371/14362/216795/12006/17877/110157/11479/21414/11651/16600/13544/20848/11652/26395/14186/16001/11789/12387/15903/84505/22411/22658/21386/23797/16000/23805/17268/21423/15902/13543/26380/17129/16195/12166/12159/22418/17869/29857/56637/22410/12005/17128/17126/16452/76073/71041/15461/12151/269275/11477/20482/18706/22414/18176/16451/18710/13542/19712/93735/13990/22419/16653/244349/14182/17125/16453/18709/17127/74769/22420/69587/26396/51869/22417/14370/16324/14173/16468/11906/18707/14369/16323/18708/15901/14367/14366/57265/11480/12167/19094/26416/14184/16880/14784/11481/26417/26413/12168/69837/93897",101
"mmu04662","mmu04662","B cell receptor signaling pathway","63/5355","83/9045",0.00102332508341371,0.0021102107310146,0.000762726770246242,"83490/14281/14130/22324/15170/16476/110157/11651/19353/11652/16151/26395/22325/170758/23797/18035/20963/19056/19057/56637/18037/20662/19697/12675/15461/16331/18019/18706/18176/26377/19055/18033/12042/12517/18710/16653/18036/16150/18709/18021/74769/240354/16332/18018/19354/57257/19058/234779/20663/26396/108723/12520/18707/18708/17096/18751/18733/14784/17060/26417/26413/240168/14728",63
"mmu00511","mmu00511","Other glycan degradation","17/5355","18/9045",0.00106105303598912,0.00217450375276782,0.00078596521184379,"17159/18010/66848/15212/15211/14466/110173/230101/71665/17160/11593/73744/217364/50877/238023/12091/23956",17
"mmu00600","mmu00600","Sphingolipid metabolism","43/5355","54/9045",0.00120079611787691,0.00242274338873735,0.000875690381471332,"11886/19156/14421/18010/67260/70750/76893/56336/20598/20397/14420/20773/81535/268656/15212/19012/11883/71949/54447/15211/241447/14466/22234/230101/67916/66190/11605/58994/22239/50877/223753/20597/230379/13244/208449/12091/74442/50784/56386/56632/20698/23956/77626",43
"mmu00620","mmu00620","Pyruvate metabolism","36/5355","44/9045",0.00120407427452308,0.00242274338873735,0.000875690381471332,"68738/235339/66204/11671/17448/17449/107476/13382/68263/110460/109801/14651/107029/18563/14194/56752/18534/60525/11532/58810/11669/16832/109264/18597/52815/110446/18746/17436/76238/74551/100705/110695/75572/224530/16828/11522",36
"mmu04962","mmu04962","Vasopressin-regulated water reabsorption","36/5355","44/9045",0.00120407427452308,0.00242274338873735,0.000875690381471332,"26427/19344/53869/18749/18747/11515/56455/271457/13424/19345/68097/104111/22318/11512/213575/11829/67665/192662/69654/12912/13427/14683/12913/11857/20909/59288/22428/13191/235661/18195/234663/208647/110350/231991/14570/19326",36
"mmu04923","mmu04923","Regulation of lipolysis in adipocytes","45/5355","57/9045",0.0012971352069711,0.00259427041394221,0.000937688101424895,"11555/384783/23945/14677/14679/11651/16890/11652/18749/18747/16337/11515/23797/432530/104111/22095/210044/104110/224129/11512/66853/14683/18706/18160/11832/18710/14311/103968/18576/11513/18709/74769/67469/14678/18166/18707/19218/18708/11539/16369/19224/19091/16367/225845/11770",45
"mmu04062","mmu04062","Chemokine signaling pathway","134/5355","192/9045",0.00140309314414882,0.00278938277758928,0.00100821064250215,"57266/20315/18753/22324/22376/20308/14677/14679/110157/11651/19353/109880/21844/14773/20848/11652/16151/56221/26395/18749/18747/11515/12929/12540/11848/20307/22325/17969/18803/12928/170758/109689/66102/20305/23797/94176/216148/432530/30955/19878/104111/20292/320207/20851/18035/210044/104110/14083/56637/224129/11512/55985/20300/14695/20662/19877/14682/16452/110355/19697/12015/18797/12675/15461/93742/20846/20779/18706/14696/18176/18033/18710/18762/14688/56744/19303/12769/14693/16653/18036/18479/16150/11513/20312/16453/18709/12927/14697/74769/14678/66066/19395/19354/57257/234779/20663/15945/271849/14701/14700/14710/277360/18707/18798/20847/140580/18708/17096/320129/20416/14702/12767/104709/14708/56484/12772/18795/215449/14772/18751/606496/19229/14784/56066/216869/26417/26413/14707/109905/14704/100504346/20301/26385/18829",134
"mmu05217","mmu05217","Basal cell carcinoma","49/5355","63/9045",0.00145947074072672,0.0028841921781028,0.00104247910051908,"13197/14368/14371/14362/216795/12006/21414/319757/107986/13544/12028/11789/12387/17873/22411/23805/13543/14634/23882/19206/27015/12159/22418/56637/22410/12575/12005/21416/24069/14632/12156/22414/19207/13542/93735/22419/22420/22417/14370/14369/14367/14633/14366/57265/16576/21415/12018/22059/93897",49
"mmu00514","mmu00514","Other types of O-glycan biosynthesis","35/5355","43/9045",0.00168505886934516,0.0033102931634473,0.00119649150486047,"20440/14423/26433/17305/80294/171212/108760/78754/19719/241391/14595/20441/53418/16848/232313/108150/269132/212996/224143/217734/108155/234407/101351/223827/231050/233733/99011/94192/140484/268880/59048/381694/57370/108148/14426",35
